epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6364,2.58517,2.98516,2.35362,0.00333,0.22222,0.02363,0.00614,3.56853,3.31111,2.95633,8e-05,8e-05,8e-05
2,47.9732,2.09529,2.83354,1.96737,0.01333,0.88889,0.13704,0.05394,2.07799,3.06405,2.06946,0.000178218,0.000178218,0.000178218
3,72.2934,1.65813,2.7505,1.59096,0.015,1,0.37621,0.18435,1.63804,2.68806,1.39355,0.000274456,0.000274456,0.000274456
4,98.4426,1.44875,2.52994,1.45433,0.01417,0.94444,0.23643,0.12228,1.6188,2.66699,1.43768,0.000368714,0.000368714,0.000368714
5,122.701,1.26268,2.23794,1.30571,0.015,1,0.56789,0.31185,1.41876,2.52831,1.42377,0.000460992,0.000460992,0.000460992
6,147.397,1.35642,2.25822,1.4077,0.015,1,0.44892,0.2453,1.43676,2.5342,1.49001,0.00055129,0.00055129,0.00055129
7,171.695,1.18591,2.12767,1.28905,0.54945,0.60983,0.5608,0.27952,1.38906,2.13302,1.5502,0.000639608,0.000639608,0.000639608
8,196.78,1.26415,1.91188,1.30429,0.69252,0.75147,0.81154,0.39318,1.52786,1.85147,1.59609,0.000725946,0.000725946,0.000725946
9,223.389,1.3188,1.66362,1.36016,0.55845,0.33333,0.5544,0.27291,1.43234,2.13308,1.45401,0.000810304,0.000810304,0.000810304
10,248.58,1.24635,1.65061,1.31065,0.3281,0.27167,0.43609,0.23453,1.44274,2.16044,1.42243,0.000892682,0.000892682,0.000892682
11,274.439,1.18491,1.50901,1.27217,0.23659,0.33333,0.28276,0.1051,1.50127,2.36225,1.79311,0.00097308,0.00097308,0.00097308
12,299.548,1.21025,1.56798,1.29355,0.33524,0.22222,0.32698,0.13329,1.47607,2.31957,1.70055,0.0010515,0.0010515,0.0010515
13,324.75,1.2351,1.5497,1.30893,0.297,0.38889,0.2822,0.13579,1.68689,2.37583,1.84009,0.00112794,0.00112794,0.00112794
14,349.361,1.10155,1.4293,1.23579,0.44182,0.77778,0.55043,0.3347,1.29624,1.98857,1.39375,0.00120239,0.00120239,0.00120239
15,375.123,1.29185,1.55735,1.37692,0.85915,0.77778,0.8804,0.42893,1.36313,1.65186,1.32022,0.00127487,0.00127487,0.00127487
16,405.772,1.23386,1.46919,1.26563,0.60796,0.83333,0.83076,0.53394,1.22738,1.54718,1.28286,0.00134537,0.00134537,0.00134537
17,431.203,1.2044,1.46727,1.27852,0.44827,0.55556,0.54267,0.32102,1.43129,1.77576,1.45566,0.00141389,0.00141389,0.00141389
18,459.071,1.22566,1.44216,1.276,0.53935,0.77778,0.72353,0.36352,1.3903,1.6595,1.51195,0.00148043,0.00148043,0.00148043
19,486.838,1.14995,1.44872,1.25198,0.67995,0.77778,0.73402,0.37548,1.38272,1.71211,1.77751,0.00154498,0.00154498,0.00154498
20,513.612,1.22082,1.48151,1.29706,0.59144,0.77778,0.68868,0.40982,1.24579,1.66886,1.50208,0.00160756,0.00160756,0.00160756
21,539.979,1.19284,1.4925,1.27266,0.47484,0.88889,0.61856,0.38195,1.28356,1.56761,1.53961,0.001604,0.001604,0.001604
22,566.782,1.1702,1.40908,1.24738,0.51455,0.61111,0.58123,0.35089,1.33869,1.66613,1.62519,0.0015842,0.0015842,0.0015842
23,592.485,1.08882,1.48065,1.20176,0.49017,0.61111,0.53144,0.27174,1.74504,1.82045,1.97593,0.0015644,0.0015644,0.0015644
24,619.457,1.24405,1.40399,1.26646,0.45197,0.5,0.49689,0.2164,1.78027,2.17909,1.92489,0.0015446,0.0015446,0.0015446
25,647.41,1.16695,1.34066,1.21504,0.41893,0.33333,0.32571,0.13814,1.9617,2.68554,2.04188,0.0015248,0.0015248,0.0015248
26,679.301,1.20864,1.48554,1.36768,0.47646,0.16667,0.1261,0.05242,2.19123,3.60837,2.28663,0.001505,0.001505,0.001505
27,707.495,1.05593,1.34915,1.23378,0.39337,0.22222,0.14327,0.05218,2.08494,3.84074,2.09271,0.0014852,0.0014852,0.0014852
28,732.699,1.02998,1.30352,1.22142,0.31082,0.27778,0.13222,0.07061,1.57888,3.1641,1.69742,0.0014654,0.0014654,0.0014654
29,758.441,1.02593,1.37362,1.21198,0.30179,0.55239,0.31751,0.15055,1.33423,2.19814,1.64423,0.0014456,0.0014456,0.0014456
30,783.566,1.04839,1.16498,1.16029,0.41692,0.61111,0.43627,0.23771,1.5786,1.88569,1.86051,0.0014258,0.0014258,0.0014258
31,809.594,0.9926,1.22457,1.14601,0.7413,0.88889,0.90211,0.51538,1.27594,1.61018,1.47678,0.001406,0.001406,0.001406
32,836.001,1.01435,1.19143,1.16031,0.71193,1,0.91127,0.55697,1.16402,1.44083,1.41984,0.0013862,0.0013862,0.0013862
33,862.692,1.06164,1.2526,1.16087,0.69071,0.88889,0.82473,0.5369,1.14154,1.36509,1.36823,0.0013664,0.0013664,0.0013664
34,888.001,0.93944,1.08174,1.11183,0.69926,1,0.79729,0.49958,1.18862,1.51574,1.38347,0.0013466,0.0013466,0.0013466
35,913.726,1.05243,1.15573,1.16781,0.60841,0.94444,0.71938,0.45749,1.26855,1.62198,1.40956,0.0013268,0.0013268,0.0013268
