epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,939.659,0.94681,1.06048,1.13696,0.75052,0.88889,0.83932,0.50856,1.18687,1.46134,1.27866,0.001307,0.001307,0.001307
37,966.295,0.95473,1.07227,1.13397,0.74717,1,0.89726,0.61047,1.15883,1.24549,1.29826,0.0012872,0.0012872,0.0012872
38,992.896,0.96293,1.11342,1.12613,0.73171,0.90968,0.85955,0.61516,1.12267,1.23361,1.3117,0.0012674,0.0012674,0.0012674
39,1017.1,1.0948,1.21054,1.23635,0.8033,0.90811,0.90906,0.65413,1.05653,1.22189,1.31394,0.0012476,0.0012476,0.0012476
40,1042.29,1.08664,1.31421,1.24083,0.9346,0.83333,0.93195,0.71948,0.94445,1.02802,1.28534,0.0012278,0.0012278,0.0012278
41,1068.07,0.95536,1.09999,1.1685,0.86794,0.73072,0.88546,0.66721,0.98259,1.11149,1.22768,0.001208,0.001208,0.001208
42,1093.54,0.93533,1.0428,1.1616,0.71129,0.82169,0.73598,0.38613,1.43768,1.59428,1.54485,0.0011882,0.0011882,0.0011882
43,1118.22,0.92087,0.94509,1.08929,0.33622,0.44444,0.33298,0.14803,1.87199,2.5031,1.90917,0.0011684,0.0011684,0.0011684
44,1143.93,0.97828,1.01703,1.10122,0.31293,0.55556,0.39116,0.1764,1.89082,2.41322,1.82652,0.0011486,0.0011486,0.0011486
45,1169.16,0.92861,1.01079,1.14315,0.40091,0.66927,0.51253,0.19935,1.75363,2.33608,1.67959,0.0011288,0.0011288,0.0011288
46,1196.43,1.00313,1.05059,1.12428,0.53182,0.75778,0.55638,0.27218,1.52017,2.00941,1.54104,0.001109,0.001109,0.001109
47,1223.88,0.89791,0.96307,1.07231,0.70584,0.83333,0.8161,0.466,1.18836,1.23061,1.39119,0.0010892,0.0010892,0.0010892
48,1252.28,0.86786,0.96141,1.10867,0.87598,0.88889,0.94819,0.6284,1.12833,1.00392,1.3665,0.0010694,0.0010694,0.0010694
49,1280.79,0.94504,0.93987,1.11284,0.82909,0.94444,0.94889,0.58779,1.19899,1.00273,1.48276,0.0010496,0.0010496,0.0010496
50,1307.75,0.92184,0.93703,1.0926,0.77822,0.83333,0.87187,0.43651,1.31063,1.30183,1.49393,0.0010298,0.0010298,0.0010298
51,1334.5,0.96756,1.06561,1.11417,0.70696,0.80485,0.79986,0.3908,1.3663,1.39857,1.46733,0.00101,0.00101,0.00101
52,1360.94,0.89911,0.97869,1.09905,0.66491,0.9924,0.80464,0.39521,1.33889,1.41053,1.4437,0.0009902,0.0009902,0.0009902
53,1387.6,0.85537,0.91855,1.08865,0.75023,0.94444,0.90795,0.51854,1.18347,1.21632,1.36769,0.0009704,0.0009704,0.0009704
54,1413.47,0.98571,1.10017,1.15551,0.82192,0.94444,0.95312,0.64962,1.0601,1.14204,1.31373,0.0009506,0.0009506,0.0009506
55,1441.41,0.82203,0.87992,1.03708,0.77609,1,0.95553,0.66081,1.02742,1.04963,1.32067,0.0009308,0.0009308,0.0009308
56,1469.88,0.84191,0.94468,1.06297,0.80493,0.94444,0.94462,0.61526,1.11792,0.95421,1.3961,0.000911,0.000911,0.000911
57,1497.11,0.94024,0.95245,1.10732,0.83164,0.94444,0.9555,0.62353,1.16463,0.99734,1.37802,0.0008912,0.0008912,0.0008912
58,1525.49,0.86426,0.88592,1.0609,0.88598,0.83333,0.95355,0.59505,1.17914,1.01333,1.34862,0.0008714,0.0008714,0.0008714
59,1552.28,0.80265,0.95141,1.05765,0.94476,0.77778,0.95143,0.63709,1.0993,1.01474,1.30824,0.0008516,0.0008516,0.0008516
60,1581.48,0.88745,0.88025,1.10586,0.91631,0.88889,0.9451,0.65663,1.01342,0.95897,1.24398,0.0008318,0.0008318,0.0008318
61,1608.75,0.89469,0.94686,1.08007,0.94031,0.87574,0.92758,0.65576,1.00431,0.94911,1.21733,0.000812,0.000812,0.000812
62,1637.8,0.89713,0.87247,1.08235,0.93685,0.82465,0.92066,0.64968,1.00038,0.93517,1.19409,0.0007922,0.0007922,0.0007922
63,1666.33,0.85017,0.8209,1.04967,0.76187,0.88871,0.89129,0.60425,0.99771,0.93081,1.18935,0.0007724,0.0007724,0.0007724
64,1694.28,0.85233,0.84642,1.08119,0.9159,0.77778,0.90795,0.64255,0.91619,0.87076,1.16359,0.0007526,0.0007526,0.0007526
65,1720.36,0.87242,0.81967,1.07118,0.80751,0.88889,0.93201,0.68383,0.9147,0.8478,1.15823,0.0007328,0.0007328,0.0007328
66,1749.41,0.83744,0.81988,1.06958,0.93234,0.88889,0.96007,0.68968,0.95448,0.83016,1.15355,0.000713,0.000713,0.000713
67,1776.15,0.84812,0.83346,1.03669,0.97653,0.88889,0.97202,0.69843,0.98497,0.82575,1.15664,0.0006932,0.0006932,0.0006932
68,1803.12,0.85724,0.86267,1.06294,0.94382,0.94444,0.99,0.72931,0.9871,0.77692,1.18392,0.0006734,0.0006734,0.0006734
69,1829.19,0.86127,0.80973,1.05016,0.93612,0.94444,0.98667,0.74464,0.94575,0.75565,1.17864,0.0006536,0.0006536,0.0006536
70,1856.15,0.76152,0.8563,1.04916,0.98918,0.88889,0.98154,0.70242,0.94378,0.76419,1.19588,0.0006338,0.0006338,0.0006338
71,1884.05,0.74886,1.18523,1.00086,0.8893,0.94444,0.96527,0.70995,0.9316,0.78013,1.21997,0.000614,0.000614,0.000614
72,1910.48,0.8307,0.9036,1.05088,0.94056,0.87954,0.94236,0.70964,0.91637,0.78526,1.23659,0.0005942,0.0005942,0.0005942
73,1937.77,0.8402,0.78245,1.0396,0.94095,0.88545,0.94842,0.731,0.89323,0.76046,1.19689,0.0005744,0.0005744,0.0005744
74,1964.87,0.83134,0.75081,1.05654,0.9107,0.94444,0.95014,0.72976,0.86301,0.72768,1.14919,0.0005546,0.0005546,0.0005546
75,1993.08,0.81632,0.78516,1.04449,0.98049,0.94444,0.96025,0.759,0.87017,0.73853,1.12791,0.0005348,0.0005348,0.0005348
76,2018.65,0.7472,0.76519,1.01743,0.87743,0.94444,0.9506,0.7295,0.88437,0.77832,1.14338,0.000515,0.000515,0.000515
77,2043.71,0.76322,0.72125,1.00496,0.94416,0.93958,0.96032,0.74604,0.85681,0.77235,1.16658,0.0004952,0.0004952,0.0004952
78,2069.12,0.76164,0.98245,1.07786,0.94228,0.94444,0.96535,0.74892,0.86895,0.78014,1.20883,0.0004754,0.0004754,0.0004754
79,2094.81,0.74397,0.70068,1.02181,0.93337,0.94444,0.95863,0.72312,0.94888,0.8545,1.27709,0.0004556,0.0004556,0.0004556
80,2120.24,0.7535,0.7037,1.0224,0.9309,0.94444,0.96599,0.7259,0.95189,0.78417,1.3027,0.0004358,0.0004358,0.0004358
81,2147.38,0.83467,0.85191,1.1335,0.95089,0.94444,0.975,0.7592,0.90262,0.72219,1.25955,0.000416,0.000416,0.000416
82,2173.04,0.82533,0.73463,1.10212,0.98584,0.94444,0.98786,0.75776,0.91242,0.66786,1.26383,0.0003962,0.0003962,0.0003962
83,2197.07,0.80349,0.98976,1.07034,0.99109,0.94444,0.99,0.76495,0.90365,0.65424,1.24737,0.0003764,0.0003764,0.0003764
84,2220.53,0.82067,0.75829,1.04732,0.99079,0.94444,0.99237,0.76466,0.88549,0.67234,1.24123,0.0003566,0.0003566,0.0003566
85,2246.17,0.77102,0.71831,0.99722,0.99254,0.94444,0.99237,0.75376,0.88182,0.66145,1.23884,0.0003368,0.0003368,0.0003368
86,2271.8,0.77297,0.74708,1.04335,0.99392,0.94444,0.98786,0.75394,0.8806,0.66604,1.22775,0.000317,0.000317,0.000317
87,2299.33,0.91844,1.11092,1.23627,1,0.92139,0.98413,0.75556,0.89586,0.65227,1.23129,0.0002972,0.0002972,0.0002972
88,2324.45,0.85898,0.71871,1.11967,0.8916,1,0.984,0.78497,0.86733,0.63862,1.2059,0.0002774,0.0002774,0.0002774
89,2350.57,0.75242,0.72124,1.02737,0.89212,1,0.984,0.78779,0.8559,0.6357,1.19416,0.0002576,0.0002576,0.0002576
90,2376.91,0.76036,0.73803,1.06316,0.89808,1,0.98921,0.78933,0.83199,0.62451,1.17944,0.0002378,0.0002378,0.0002378
91,2402.91,0.69601,0.99634,1.01266,0.89445,1,0.984,0.78121,0.82922,0.60979,1.17114,0.000218,0.000218,0.000218
92,2428.9,0.67473,0.96153,1.01296,0.99193,0.94444,0.98413,0.74621,0.88307,0.62844,1.20666,0.0001982,0.0001982,0.0001982
93,2454.32,0.66962,0.75364,0.98417,0.99376,0.94444,0.97833,0.74419,0.89787,0.64502,1.21006,0.0001784,0.0001784,0.0001784
94,2479.9,0.63342,0.74978,0.9536,0.99425,0.94444,0.975,0.76302,0.92481,0.66126,1.24266,0.0001586,0.0001586,0.0001586
95,2509.76,0.66818,0.70882,0.96232,0.99408,0.94444,0.97403,0.76441,0.94173,0.66396,1.25933,0.0001388,0.0001388,0.0001388
96,2537.97,0.61228,0.74759,0.98551,0.99239,0.94444,0.97403,0.76543,0.9163,0.66753,1.25389,0.000119,0.000119,0.000119
97,2566.11,0.66899,0.70067,0.97126,0.99325,0.94444,0.97403,0.76301,0.90119,0.65517,1.24903,9.92e-05,9.92e-05,9.92e-05
98,2595.2,0.66381,0.85798,0.99251,0.99317,0.94444,0.97312,0.76892,0.88588,0.65782,1.24329,7.94e-05,7.94e-05,7.94e-05
99,2621.27,0.66916,0.68816,0.97689,0.98864,0.94444,0.97227,0.76372,0.88094,0.63938,1.25043,5.96e-05,5.96e-05,5.96e-05
100,2648,0.68994,0.67053,0.97816,0.98935,0.94444,0.97962,0.77614,0.86015,0.61669,1.25299,3.98e-05,3.98e-05,3.98e-05
